headword,pos,CEFR,CoreInventory 1,CoreInventory 2,Threshold
ability,NOUN,A2,,,
abroad,ADV,A2,,,
accept,VERB,A2,,,
acceptable,ADJ,A2,,,
accident,NOUN,A2,"News, lifestyles and current affairs",,Health and body care
account,NOUN,A2,"Things in the town, shops and shopping",,Services
achieve,VERB,A2,,,
across,ADV,A2,,,
across,SCONJ,A2,,,
act,NOUN,A2,Hobbies and pastimes,,"Free time, entertainment"
actually,ADV,A2,,,
addition,NOUN,A2,Collocation,,Language
additional,ADJ,A2,,,
adjective,NOUN,A2,Education,,Language
adjust,VERB,A2,,,
admire,VERB,A2,,,
admit,VERB,A2,,,
adult,ADJ,A2,,,
adult,NOUN,A2,,,Personal identification
advanced,ADJ,A2,,,
advantage,NOUN,A2,Work and jobs,,
adventure,NOUN,A2,Books and literature,,"Free time, entertainment"
advertisement,NOUN,A2,Shopping,,Services
advertising,NOUN,A2,Shopping,,Services
advice,NOUN,A2,,,
advise,VERB,A2,,,
affair,NOUN,A2,Work and jobs,"News, lifestyles and current affairs",
after,ADV,A2,,,
against,SCONJ,A2,,,
aged,ADJ,A2,,,
agency,NOUN,A2,Travel and services vocab,,Travel
agent,NOUN,A2,"Things in the town, shops and shopping",,Services
ahead,ADV,A2,,,
air,NOUN,A2,,,
aisle,NOUN,A2,Travel and services vocab,,Travel
alarm,NOUN,A2,,,
alarm clock,NOUN,A2,,,"House and home, environment"
alive,ADJ,A2,,,
all,ADV,A2,,,
allow,VERB,A2,,,
alone,ADJ,A2,,,
along,SCONJ,A2,,,
alright,ADJ,A2,,,
alright,ADV,A2,,,
although,conjunction,A2,,,
ambition,NOUN,A2,,,
among,SCONJ,A2,,,
amused,ADJ,A2,,,
amusement,NOUN,A2,Hobbies and pastimes,,"Free time, entertainment"
ancestor,NOUN,A2,Education,,Relations with other people
ancient,ADJ,A2,,,
angel,NOUN,A2,Books and literature,,"Free time, entertainment"
angrily,ADV,A2,,,
ankle,NOUN,A2,Personal information,,Health and body care
anniversary,NOUN,A2,Family life,,Daily life
annoy,VERB,A2,,,
annoying,ADJ,A2,,,
another,PRON,A2,,,
anxious,ADJ,A2,,,
anymore,ADV,A2,,,
anyway,ADV,A2,,,
anywhere,ADV,A2,,,
apart,ADV,A2,,,
apartment,NOUN,A2,"Things in the town, shops and shopping",,Places
apologize/apologise,VERB,A2,,,
apparently,ADV,A2,,,
appear,VERB,A2,,,
appearance,NOUN,A2,,,
apply,VERB,A2,,,
appointment,NOUN,A2,Work and jobs,,
appreciate,VERB,A2,,,
appropriate,ADJ,A2,,,
architecture,NOUN,A2,"Things in the town, shops and shopping",Arts,"House and home, environment"
area,NOUN,A2,Travel and services vocab,,
argue,VERB,A2,,,
argument,NOUN,A2,,,
armchair,NOUN,A2,,,"House and home, environment"
armed,ADJ,A2,,,
around,ADV,A2,,,
artificial,ADJ,A2,,,
as,conjunction,A2,,,
asleep,ADJ,A2,,,
assistant,ADJ,A2,,,
association,NOUN,A2,"Things in the town, shops and shopping",,Relations with other people
astronaut,NOUN,A2,Work and jobs,,Personal identification
athlete,NOUN,A2,Work and jobs,Leisure activities,Personal identification
atom,NOUN,A2,Education,,
attack,NOUN,A2,"News, lifestyles and current affairs",,Relations with other people
attack,VERB,A2,,,
attempt,NOUN,A2,,,
attention,NOUN,A2,,,
attitude,NOUN,A2,,,
attractive,ADJ,A2,,,
audience,NOUN,A2,Media,,"Free time, entertainment"
audio,ADJ,A2,,,
author,NOUN,A2,Education,,"Free time, entertainment"
automatic,ADJ,A2,,,
automatically,ADV,A2,,,
average,ADJ,A2,,,
average,NOUN,A2,,,
avoid,VERB,A2,,,
award,NOUN,A2,Media,,"Free time, entertainment"
awful,ADJ,A2,,,
back,ADJ,A2,,,
background,NOUN,A2,Personal information,,
badly,ADV,A2,,,
badminton,NOUN,A2,,,"Free time, entertainment"
bake,VERB,A2,,,
balcony,NOUN,A2,Objects and rooms,,"House and home, environment"
balloon,NOUN,A2,"Things in the town, shops and shopping",,
bank,VERB,A2,,,
banking,NOUN,A2,Travel and services vocab,,Services
barbecue,NOUN,A2,,,"Free time, entertainment"
barber,NOUN,A2,"Things in the town, shops and shopping",Work and jobs,Services
bargain,NOUN,A2,Shopping,,Shopping
base,NOUN,A2,,,
basic,ADJ,A2,,,
basically,ADV,A2,,,
basket,NOUN,A2,Objects and rooms,,Shopping
batch,NOUN,A2,Collocation,,Language
battery,NOUN,A2,,,
bay,NOUN,A2,,,"House and home, environment"
bear,VERB,A2,,,
beauty,NOUN,A2,Hobbies and pastimes,,"Free time, entertainment"
been,be-verb,A2,,,
beer,NOUN,A2,Food and drink,,Food and drink
before,conjunction,A2,,,
beg,VERB,A2,,,
beginner,NOUN,A2,,,Personal identification
beginning,NOUN,A2,,,
behavior/behaviour,NOUN,A2,,,
being,NOUN,A2,Collocation,,Language
belly,NOUN,A2,,,
belong,VERB,A2,,,
belt,NOUN,A2,,,Shopping
bench,NOUN,A2,"Things in the town, shops and shopping",,"House and home, environment"
bend,VERB,A2,,,
besides,ADV,A2,,,
better,ADV,A2,,,
beyond,SCONJ,A2,,,
bill,NOUN,A2,Shopping,,Shopping
bit,NOUN,A2,Collocation,,Language
bite,NOUN,A2,,,
blackboard,NOUN,A2,Education,,Education
blame,VERB,A2,,,
blanket,NOUN,A2,Objects and rooms,,Shopping
blonde,ADJ,A2,,,
blood,NOUN,A2,,,
bloom,NOUN,A2,"Things in the town, shops and shopping",,
blow,NOUN,A2,,,
board game,NOUN,A2,,,"Free time, entertainment"
boil,VERB,A2,,,
boiled,ADJ,A2,,,
bonus,NOUN,A2,Work and jobs,,Services
bookcase,NOUN,A2,,,Shopping
bookshelf,NOUN,A2,,,"House and home, environment"
bookshop,NOUN,A2,,,Shopping
bored,ADJ,A2,,,
boss,NOUN,A2,Work and jobs,,Personal identification
bother,VERB,A2,,,
bra,NOUN,A2,Clothes,,Shopping
brainstorm,NOUN,A2,,,
brake,NOUN,A2,,,
branch,NOUN,A2,"Things in the town, shops and shopping",,Services
brand,NOUN,A2,Shopping,,Shopping
brave,ADJ,A2,,,
break,NOUN,A2,,,
breeze,NOUN,A2,,,Weather
bride,NOUN,A2,Family life,,Personal identification
brilliant,ADJ,A2,,,
brown,NOUN,A2,,,
budget,NOUN,A2,Work and jobs,,Services
bug,NOUN,A2,,,
bulb,NOUN,A2,,,
burn,NOUN,A2,,,
bury,VERB,A2,,,
bus station,NOUN,A2,,,Travel
bus stop,NOUN,A2,,,Travel
bush,NOUN,A2,"Things in the town, shops and shopping",,Places
businessman,NOUN,A2,Work and jobs,,Personal identification
businesswoman,NOUN,A2,,,Personal identification
cab,NOUN,A2,Ways of travelling,"Things in the town, shops and shopping",Travel
cafeteria,NOUN,A2,"Things in the town, shops and shopping",,Food and drink
calendar,NOUN,A2,,,"House and home, environment"
call,VERB,A2,,,
camp,VERB,A2,,,
camping,NOUN,A2,,,"Free time, entertainment"
campus,NOUN,A2,Education,,Education
can,NOUN,A2,,,Shopping
capital,NOUN,A2,,,Places
capital letter,NOUN,A2,,,Language
captain,NOUN,A2,Work and jobs,,Personal identification
car park,NOUN,A2,,,Travel
carrot,NOUN,A2,,,Shopping
cash,NOUN,A2,Shopping,,Services
cassette,NOUN,A2,Objects and rooms,,"Free time, entertainment"
castle,NOUN,A2,,,"House and home, environment"
cause,VERB,A2,,,
cent,NOUN,A2,,,
center/centre,NOUN,A2,,,
