headword,pos,CEFR,CoreInventory 1,CoreInventory 2,Threshold
abandon,VERB,B1,,,
able,ADJ,B1,,,
abnormal,ADJ,B1,,,
aboard,ADV,B1,,,
aborigine,NOUN,B1,Nationalities and countries,,
above,ADJ,B1,,,
absence,NOUN,B1,,,
absent,ADJ,B1,,,
absolute,ADJ,B1,,,
absolutely,ADV,B1,,,
absorb,VERB,B1,,,
abstract,ADJ,B1,,,
abundance,NOUN,B1,,,
abundant,ADJ,B1,,,
academic,ADJ,B1,,,
academy,NOUN,B1,Education,,
accent,NOUN,B1,Education,,Education
acceptance,NOUN,B1,,,
access,NOUN,B1,Ways of travelling,,Travel
accessible,ADJ,B1,,,
accessory,NOUN,B1,Shopping,,Shopping
accidental,ADJ,B1,,,
accidentally,ADV,B1,,,
accompany,VERB,B1,,,
accomplish,VERB,B1,,,
according to,SCONJ,B1,,,
account,VERB,B1,,,
accountant,NOUN,B1,Work and jobs,,Personal identification
accuracy,NOUN,B1,,,
accurate,ADJ,B1,,,
accurately,ADV,B1,,,
accuse,VERB,B1,,,
accustom,VERB,B1,,,
ache,NOUN,B1,Travel and services vocab,,Health and body care
achievement,NOUN,B1,Education,,
acknowledge,VERB,B1,,,
acknowledgment/acknowledgement,NOUN,B1,,,
acquaintance,NOUN,B1,Personal information,,
acquire,VERB,B1,,,
act,VERB,B1,,,
active,ADJ,B1,,,
actress,NOUN,B1,Work and jobs,Film,Personal identification
ad,NOUN,B1,Media,,
adapt,VERB,B1,,,
address,VERB,B1,,,
addressee,NOUN,B1,,,
administration,NOUN,B1,Travel and services vocab,,
admiration,NOUN,B1,,,
admission,NOUN,B1,Education,,
adopt,VERB,B1,,,
adorable,ADJ,B1,,,
advance,VERB,B1,,,
adverb,NOUN,B1,Education,,Education
adverbial,ADJ,B1,,,
advert,NOUN,B1,,,
advertise,VERB,B1,,,
adviser/advisor,NOUN,B1,Education,Work and jobs,Personal identification
aerobics,NOUN,B1,Hobbies and pastimes,,"Free time, entertainment"
affect,VERB,B1,,,
affection,NOUN,B1,,,
afford,VERB,B1,,,
after,conjunction,B1,,,
afterward/afterwards,ADV,B1,,,
agenda,NOUN,B1,Work and jobs,,
aggressive,ADJ,B1,,,
agreement,NOUN,B1,Work and jobs,,
agricultural,ADJ,B1,,,
agriculture,NOUN,B1,Food and drink,Work and jobs,
aid,NOUN,B1,,,
aid,VERB,B1,,,
